Subject,Description,Status
"TIE-UP GRABFOOD_ ƯU ĐÃI THÁNG 11/2022__BỘ ECODE CHANG30, CHANG55, CHANGGOLDEN & CHANG2011_GIA HẠN VÀ CẬP NHẬT",,1/11/2022
"TIE-UP SHOPEEFOOD_ƯU ĐÃI THÁNG 11/2022__BỘ ECODE SIEUTIEC, SIEUDEAL, T2GIAM30_GIA HẠN & CẬP NHẬT",,1/11/2022
"TIỆC BUFFET ĐỒNG GIÁ CHỈ VỚI 239,000VNĐ TẠI AKA HOUSE",,1/11/2022
ƯU ĐÃI SWIFI - LTO CARAMEL POPCORN BLIZZARD (CLOSED),,1/11/2022
TIE-UP BAEMIN_ ƯU ĐÃI THÁNG 11/2022_BỘ ECODE “CHANGKHAO”,,3/11/2022
CHƯƠNG TRÌNH HỢP TÁC VỚI GRABFOOD_THÁNG 11/2022,,4/11/2022
LTO MOM CAKE 2022 – ĐIỀU CHỈNH,,4/11/2022
LSM – HỢP TÁC CÙNG AEON MALL HẢI PHÒNG,,5/11/2022
TRIỂN KHAI HỢP TÁC BAEMIN TẠI CỬA HÀNG DAIRY QUEEN NHA TRANG CENTER VÀ DAIRY QUEEN AEON MALL BÌNH DƯƠNG,,5/11/2022
FLASH SALE 05/11 – ƯU ĐÃI MUA 1 TẶNG 1 HỘP KEM,,5/11/2022
CHƯƠNG TRÌNH HỢP TÁC GRAB FOOD THÁNG 11/2022,,5/11/2022
BINGSU MÙA LỄ HỘI,,5/11/2022
CHƯƠNG TRÌNH HỢP TÁC VỚI GRABFOOD_THÁNG 11/2022,,5/11/2022
CHƯƠNG TRÌNH HỢP TÁC VỚI TAPTAP_THÁNG 11/2022_E-VOUCHER GIẢM 30% CHO PIZZA SIZE M/L,,5/11/2022
CẬP NHẬT CHƯƠNG TRÌNH LTO RA MẮT COMBO GÀ GIÒN XỐT HÀN VÀ CÁC MÓN PHÔ MAI LẮC (Tắt hiển thị khuyến mãi trên bill),,5/11/2022
"COMBO TIỆC THÁI, VUI LỄ LOY KRATHONG_CẬP NHẬT",,5/11/2022
NGƯNG BÁN CÁC SẢN PHẨM LTO – FRAPPE COLLECTION “YOU MAKE ME CARAMEL,,5/11/2022
TIE-UP GOFOOD_ƯU ĐÃI THÁNG 11/2022_ E-CODE GIẢM 20.000 VND CHO HÓA ĐƠN TỪ 99.000 VND,,7/11/2022
CHƯƠNG TRÌNH HỢP TÁC TAPTAP THÁNG 11/2022 – 01/2023,,8/11/2022
CHƯƠNG TRÌNH HỢP TÁC TAPTAP THÁNG 11/2022 – 01/2023,,8/11/2022
CHƯƠNG TRÌNH HỢP TÁC VỚI BAEMIN_THÁNG 11/2022,,8/11/2022
LTO SALTED EGG – KEM XỐT HOÀNG KIM – GIA HẠN,,8/11/2022
LSM – ƯU ĐÃI ĐẶC BIỆT TẠI SWENSEN’S AEON MALL HÀ ĐÔNG - 1,,9/11/2022
LSM - TRẢI NGHIỆM KEM HỘP 400GR GIÁ ƯU ĐÃI,,9/11/2022
LSM HCM – FLASH DEAL ƯU ĐÃI ĐI 4 TÍNH 3 TRONG 3 NGÀY DUY NHẤT CỦA THÁNG 11,,9/11/2022
"HỢP TÁC JCB - ƯU ĐÃI MÙA LỄ HỘI QUÀ TRAO TAY GIẢM 200,000VNĐ CHO HÓA ĐƠN 1,200,000VNĐ KHI THANH TOÁN BẰNG THẺ JCB",,9/11/2022
ĐIỀU CHỈNH CHƯƠNG TRÌNH HỢP TÁC VỚI GRABFOOD_THÁNG 11/2022,,9/11/2022
CROSS BRAND TAPTAP – DAIRY QUEEN HỢP TÁC THE PIZZA COMPANY,,10/11/2022
CROSS BRAND TAPTAP – SWENSEN’S HỢP TÁC THE PIZZA COMPANY,,10/11/2022
RA MẮT SẢN PHẨM BÁNH KEM MỚI – MINI CAKE,,10/11/2022
CHƯƠNG TRÌNH HỢP TÁC VỚI TAPTAP/ DAIRY QUEEN/ SWENSEN'S,,10/11/2022
CHƯƠNG TRÌNH HỢP TÁC VỚI UNIQLO CHO NHÀ HÀNG TPC VINCOM ROYAL CITY,,10/11/2022
LSM – HỢP TÁC CÙNG UNIQLO ROYAL CITY,,10/11/2022
LSM – HỢP TÁC MỪNG SINH NHẬT LOTTE MART,,11/11/2022
CHƯƠNG TRÌNH HỢP TÁC SHOPEE FOOD THÁNG 11/2022,,11/11/2022
CHƯƠNG TRÌNH HỢP TÁC SHOPEE FOOD THÁNG 11/2022,,11/11/2022
FLASH SALE 11/11 – MUA 1 TẶNG 1 HỘP KEM QUART 400GR,,11/11/2022
BLACK FRI-YAY - TẶNG 1 BÁNH STRAWBERRY PANCAKE/ NUTELLA PANCAKE CHO HÓA ĐƠN TỪ 300K,,11/11/2022
LSM – HỢP TÁC CÙNG VINCOM TRẦN DUY HƯNG,,11/11/2022
NSO_KHAI TRƯƠNG NHÀ HÀNG THE PIZZA COMPANY CỬU LONG - HỒ CHÍ MINH,,12/11/2022
CHƯƠNG TRÌNH ƯU ĐÃI NGÀY NHÀ GIÁO VIỆT NAM 2022,,14/11/2022
CHƯƠNG TRÌNH HỢP TÁC VỚI ĐỐI TÁC GIAO HÀNG_ COMBO PIZZA 1K CHỈ KHI ĂN GÀ,,15/11/2022
CHƯƠNG TRÌNH HỢP TÁC VỚI MOMO_MEGA SALES 2022,,15/11/2022
CHƯƠNG TRÌNH LSM DÀNH CHO NHÀ HÀNG TPC PEGASUS THÁNG 11/2022,,16/11/2022
ƯU ĐÃI COMBO 02 KEM ÚP NGƯỢC TRỊ GIÁ 79.000Đ,,16/11/2022
CẬP NHẬT - NGƯNG BÁN CÁC VỊ KEM FOM VÀ BÁNH KEM TRÊN MENU,,17/11/2022
CHƯƠNG TRÌNH HỢP TÁC VỚI GRAB MOCA_THÁNG 11&12/2022,,17/11/2022
CHƯƠNG TRÌNH HỢP TÁC VỚI AEON MALL HÀ ĐÔNG_SỰ KIỆN BLACK FRIDAY 2022,,18/11/2022
HỢP TÁC SHOPEEXU_ÁP DỤNG E-VOUCHER GIẢM 150.000 VND,,21/11/2022
HỢP TÁC VINID_ÁP DỤNG E-VOUCHER GIẢM 30% HÓA ĐƠN,,21/11/2022
"COMBO TIỆC THÁI, VUI LỄ LOY KRATHONG_CẬP NHẬT LẦN 2",,21/11/2022
"LTO DRINKS FRAPPES – KEM ĐÁ XAY MÁT LẠNH, ĐÓN MÙA HỘI VUI",,21/11/2022
HỢP TÁC MOMO – E-VOUCHER GIẢM 40.000Đ CHO HÓA ĐƠN TỪ 100.000Đ,,21/11/2022
RA MẮT KEM HỘP TUB BLIZZARD VỊ MỚI,,21/11/2022
ƯU ĐÃI BLACK FRIDAY - MUA 01 KEM ÚP NGƯỢC BLIZZARD (SIZE VỪA TRỞ LÊN) TẶNG 02 BÁNH CHEESE TART,,21/11/2022
HỢP TÁC MOMO – E-VOUCHER GIẢM 50.000Đ CHO HÓA ĐƠN TỪ 130.000Đ,,21/11/2022
ƯU ĐÃI BLACK FRIDAY - MUA 1 TẶNG 1 KEM SUNDAES,,21/11/2022
CHƯƠNG TRÌNH HỢP TÁC VỚI GOJEK_THÁNG 11&12/2022,,21/11/2022
CHƯƠNG TRÌNH HỢP TÁC VỚI LIVIN PMH TỪ THÁNG 11/2022 ĐẾN THÁNG 11/2023,,21/11/2022
LSM CẦN THƠ – MỸ THO – BLACK FRIDAY – TẶNG NƯỚC NGỌT MIỄN PHÍ CHO KHÁCH DÙNG VÉ BUFFET,,21/11/2022
"CẬP NHẬT CHƯƠNG TRÌNH TIỆC BUFFET ĐỒNG GIÁ CHỈ VỚI 239,000VNĐ TẠI AKA HOUSE",,21/11/2022
TIẾP TỤC MỞ BÁN SẢN PHẨM BÁNH KEM SẦU RIÊNG,,23/11/2022
LSM – MOBILE EVENT – QUÝ IV – CẬP NHẬT,,24/11/2022
HAPPY HOLIDAY - FESTIVE SUNDAE,,25/11/2022
LTO FESTIVE & BISCOFF CAKE 2022,,25/11/2022
CẬP NHẬT BỔ SUNG_SẢN PHẨM 7UP FIBER TRONG CHƯƠNG TRÌNH LTO SUMMER 2022,,25/11/2022
ƯU ĐÃI ĐẶC BIỆT DÀNH CHO BÁNH KEM LẠNH,,26/11/2022
FLASH SALE 26/11 – ƯU ĐÃI MUA 1 TẶNG 1 HỘP KEM,,26/11/2022
MEGA WEEK – MUA 1 TẶNG 1 HỘP KEM 400GR,,26/11/2022
.,,1/3/2023
#32176 CHANG.MEMO.2023.10.01_TIE-UP GOFOOD_ƯU ĐÃI THÁNG 03/2023_ E-CODE GIẢM 30.000 VND CHO HÓA ĐƠN TỪ 150.000 VND & ƯU ĐÃI DEAL NGỌT NGÀO GIẢM 10% 03 MÓN ĂN_CẬP NHẬT,,13/3/2023
#35877 [CHANG.MEMO.2023.62]_LTO MỘT CHILL THU,,8/7/2023
License.xlsx,"Cập nhật  TPC Event

13/10/2025

Cập nhật TPC Lê Thị Hà, TPC Mậu Thân , AKA Vạn Hạnh Mall
19/11/2025

Cập nhật CHANG Tô Hiến Thành
03/12/2025

Cập nhật license TPC Event , TPC Trainning và danh sách license

19/12/2025",LICENSE/MEMO
Supertransit,IP WAN : 61.28.234.200,LICENSE/MEMO
Quy trình MEMO,"SAPCODE : 3 ngày làm việc kể từ nhận thông tin masterdata SAPS4

NO SAPCODE : 3 ngày làm việc kể từ nhận thông tin MEMO MKT

LSM / Update / Extended : 1 ngày làm việc kể từ nhận thông tin MEMO MKT",LICENSE/MEMO
E-WALLET,![image.png](https://trello.com/1/cards/664192d843f44a1b90ce8d9b/attachments/66cd35ee4f0cf903b7954bfe/download/image.png),LICENSE/MEMO
image.png,,LICENSE/MEMO
#7733 [CHANG.MEMO.2024.107]_THÔNG BÁO DANH SÁCH NGÀY LỄ TẾT KHÔNG ÁP DỤNG CHƯƠNG TRÌNH ƯU ĐÃI NĂM 2025,,LICENSE/MEMO
[TPC MEMO] QUI ĐỊNH CÁC NGÀY LỄ TẾT NĂM 2026,,LICENSE/MEMO
E-Voucher Giảm giá 20% cho thẻ VIP qua TAPTAP,"![image.png](https://trello.com/1/cards/67ecf3ebc7d3a758408a74bb/attachments/67ecf422315311e512827f37/download/image.png)

**Giảm Giá 20% HOD | 8889**",CTKM KHÁC
"BOGO M
BOGO L
Tuần lễ ngon M
Tuần lễ ngon L
50% Pizza 2
Ngon quá 2 ơi
Ngon lắm 3 à
4 ơi ngon xỉu
Cả nhà cùng ngon
Tiệc cười giòn tan
Tiệc mừng hân hoan
Tiệc vui rộn ràng
Tiệc tùng hoành tráng
Gà Nửa Giá M
Gà Nửa Giá L
Combo di sản 1
Combo di sản 2
Combo di sản 3","ZaloOsc:

BOGO M - 11292
BOGO L - 11293
Tuần lễ ngon M - 17949 - END : 21/12/2025
Tuần lễ ngon L - 17950 - END : 21/12/2025
Ngon quá 2 ơi - 17965 - END : 31/12/2025
Ngon lắm 3 à - 17951 - END : 31/12/2025
4 ơi ngon xỉu - 17972 - END : 31/12/2025
Cả nhà cùng ngon - 17958 - END : 31/12/2025
Gà Nửa Giá M - 19171 - END : 31/12/2025
Gà Nửa Giá L - 19172 -  END : 31/12/2025
Combo di sản 1 - 19173 - END : 31/12/2025
Combo di sản 2 - 19182 - END : 31/12/2025
Combo di sản 3 - 19191 - END : 31/12/2025

COMBO DỪA DỪA - 19538

COMBO DỪA DẶN - 19547

COMBO DỪA Ý- 19556",CTKM KHÁC
THANH TOÁN TÍCH HỢP PAYOO ONLINE,"## **CH : TPC ATP, DQ ATP, DQ ABD, TPC AEON TÂN AN**

Bắt đầu từ ngày 22/8/2024, Khi khách hàng đến thanh toán bằng thẻ TÍN DỤNG của NGÂN HÀNG BẤT KỲ qua máy CÀ THẺ PAYOO. Nhân viên sẽ thay đổi “HÌNH THỨC TIỀN TỆ” từ **CREDITCARDS sang PAYOO ONLINE.**

‌

Nhân viên thực hiện thanh toán thẻ credit cards qua máy cà thẻ PAYOO -> Trên giao diện POS , nhân viên chọn nhóm thanh toán Credit cards -> Chọn HTTT : Payoo Online (có giá trị tiền phía dưới ô HTTT) -> POS thực hiện check thanh toán -> Nhân viên cầm thẻ của khách hàng thực hiện thanh toán trên máy cà thẻ PAYOO -> Nếu đã thanh toán thành trên máy cà thẻ và trừ tiền khách hàng sau giao dịch -> Đơn hàng trên POS sẽ tự động đóng đơn hàng -> Nếu chưa thanh toán thành công trên máy cà thẻ -> POS sẽ hiển thị lỗi thông báo 2140 ( xem video đính kèm )

‌

Xem thêm HƯỚNG DẪN TỪ TÀI LIỆU PDF CỦA ĐỐI TÁC AEON PAYOO.

Có vấn đề gì thắc mắc TRONG QUÁ TRÌNH THANH TOÁN , nhà hàng vui lòng liên hệ lại với Lợi qua Zalo hoặc gọi lên HOTLINE IT kể từ ngày 22/8/2024.",CTKM KHÁC
#12979 DQ MEMO_CHƯƠNG TRÌNH HỢP TÁC XANH NGON SM THÁNG 10-25,**XNSM_M1T1 Blizz Tub & Topping**,17/9/2025
#16679 [TPC MEMO] CHƯƠNG TRÌNH HỢP TÁC VỚI SHOPEEFOOD_THÁNG 04/2026,,29/3/2026
#16687 [CHANG.MEMO.2026.049]_HỢP TÁC TAPTAP_ ƯU ĐÃI MỪNG BẠN LẠI GHÉ CHANG THÁNG 04/2026_E-VOUCHER GIẢM 14% HOÁ ĐƠN,,1/4/2026
#16680 [TPC MEMO] CHƯƠNG TRÌNH HỢP TÁC VỚI BEFOOD_THÁNG 04/2026,"Dcorp gửi hướng dẫn thao tác chương trình

1. Hướng dẫn thao tác:

- Mở bàn -> Chọn Giảm giá -> Chọn Voucher -> Chọn BEFOOD -> Chọn phím bấm chương trình

(Tên phím bấm: **BE206, BE306, BE406, BE606**)

‌

2\.3. Hướng dẫn thao tác:

- Mở bàn -> Chọn Promotion -> Chọn AGG -> Chọn phím bấm chương trình

(Tên phím bấm: **BF\_BỘ ĐÔI NHƯ ""Ý"" COMBO 1, BF\_BỘ ĐÔI NHƯ ""Ý"" COMBO 2, SPF\_ƯU ĐÃI 60% KHI MUA PIZZA THỨ 2\_M, SPF\_ƯU ĐÃI 60% KHI MUA PIZZA THỨ 2\_L**)",1/4/2026
#16684 [CHANG.MEMO.2026.046]_ƯU ĐÃI CÁ THÁNG TƯ_ E-VOUCHER GIẢM 14% CÁC MÓN CÁ,,1/4/2026
#16672 [TPC MEMO] CHƯƠNG TRÌNH ƯU ĐÃI DÀNH CHO THÀNH VIÊN THE PIZZA COMPANY TRÊN ZALO,,1/4/2026
#16682 [CHANG.MEMO.2026.044]_ƯU ĐÃI COMBO “CÁ VUI VẺ” & COMBO “CÁ MÊ LY”,"1. Hướng dẫn thao tác:

- Mở bàn -> Chọn Promotion -> Chọn phím bấm chương trình

(Tên phím bấm: **Combo ""Cá Vui Vẻ"", Combo ""Cá Mê Ly""**)",1/4/2026
"#16683 [CHANG.MEMO.2026.045]_HỢP TÁC TAPTAP_CHƯƠNG TRÌNH “ĂN MÓN MỚI, QUAY VUI TRÚNG QUÀ”",,1/4/2026
#16688 [CHANG.MEMO.2026.050]_HỢP TÁC TAPTAP_ ƯU ĐÃI QUÝ 02/2026_E-VOUCHER GIẢM 100.000 VND & E-VOUCHER GIẢM 20% HOÁ ĐƠN,,1/4/2026
#16689 [CHANG.MEMO.2026.051]_HỢP TÁC TAPTAP_E-VOUCHER TẶNG GỎI MĂNG ISAN_ ƯU ĐÃI CHO KHÁCH HÀNG LẦN ĐẦU ĐĂNG KÝ THÀNH VIÊN MỚI_THÁNG 4 & 5 2026,,1/4/2026
#16782 [TPC MEMO]_CHƯƠNG TRÌNH KHAI TRƯƠNG NHÀ HÀNG THE PIZZA COMPANY 23 THÁNG 10 - NHA TRANG,"Dcorp gửi hướng dẫn thao tác chương trình

1. Hướng dẫn thao tác:

·                  Mở bàn -> Chọn Promotion -> Chọn NSO_TPC 23 THANG 10 - NHA TRANG -> Chọn phím bấm chương trình

(Tên phím bấm: **NSO\_Tặng 01 Pizza Classic Pan/Thin (M), NSO\_Tặng 01 Phần Cánh Gà Nướng BBQ, NSO\_Tặng 01 Phần Mì Ý, NSO\_Tặng 01 Giỏ Khoai Tây Chiên, NSO_Tặng 01 Salad bất kỳ size M**)

‌

1. Hướng dẫn thao tác:

·                  Mở bàn -> Chọn Promotion -> Chọn NSO_TPC 23 THANG 10 - NHA TRANG -> Chọn phím bấm chương trình

(Tên phím bấm: **Quà Tặng Mã Gấu Thành Công**)",4/4/2026
#14914 SW MEMO_QUY ĐỊNH CÁC NGÀY LỄ TẾT TRONG NĂM 2026,,LICENSE/MEMO
#14915 DQ MEMO_QUY ĐỊNH CÁC NGÀY LỄ TẾT TRONG NĂM 2026,,LICENSE/MEMO
12.1.2026 NSO SW HÀ NỘI CENTRE,,List nhàh àng đóng và mở
29.11 NSO TPC Lê Thị Hà (HCM),,List nhàh àng đóng và mở
9.11 TPC Bà Hom ĐÓNG CỬA,,List nhàh àng đóng và mở
11.01.2026 AKA Vạn Hạnh Mall ĐÓNG CỬA,,List nhàh àng đóng và mở
20.11.2025 CHANG Tô Hiến Thành ĐÓNG CỬA,,List nhàh àng đóng và mở
1.1.2026 NSO TPC Mậu Thân (Cần Thơ),,List nhàh àng đóng và mở
2.2026 NSO TPC Lotte Đà Nẵng,,List nhàh àng đóng và mở
"SW 2026 : C2 , C4",,PRICE
"TPC 2026 : C1 , C4",,PRICE
"DQ 2026 : C2, C4",,PRICE
image.png,,Danh sách liên hệ Dcorp
